,accuracy,f1_macro,f1_weighted,roc_auc,average_precision
fold_0.0,0.8667202572347267,0.8574397541420639,0.8679658446063317,0.9369739113754075,0.9601615857923138
fold_1.0,0.8684887459807074,0.8584557129815381,0.869361183632809,0.9349566694124418,0.9588540732060421
fold_2.0,0.8713826366559485,0.8618986164883504,0.8723717675936735,0.9374142697554756,0.961698745868163
fold_3.0,0.8684887459807074,0.8582984721068598,0.8692951705318751,0.9326450277022377,0.9561056370048076
fold_4.0,0.8700964630225081,0.8600567529544583,0.8708919262451867,0.9320086454053684,0.9558826084463826
fold_5.0,0.8643086816720257,0.854770849842053,0.8655293326715957,0.935982573808659,0.9598062101428634
fold_6.0,0.8635048231511254,0.8534531617097814,0.8645476290342359,0.9324164794747773,0.9589937619988895
fold_7.0,0.8615755627009646,0.8515689017583756,0.8627094444052952,0.9312290787609381,0.9550243813595645
fold_8.0,0.8649300530631935,0.8553174244797702,0.8661053962961012,0.9295489560254133,0.9560504901601499
fold_9.0,0.8646084579514391,0.8548954916828959,0.8657554210285201,0.9338254199544237,0.9588981635421587
